KabKota,SImdasi ID,Timestamp,Tahun,"A Pertanian, Kehutanan, dan Perikanan",B Pertambangan dan Penggalian,C Industri Pengolahan,D Pengadaan Listrik dan Gas,"E Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",F Konstruksi,G Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,H Transportasi dan Pergudangan,I Penyediaan Akomodasi dan Makan Minum,J Informasi dan Komunikasi,K Jasa Keuangan dan Asuransi,L Real Estat,"M,N Jasa Perusahaan","O Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",P Jasa Pendidikan,Q Jasa Kesehatan dan Kegiatan Sosial,"R,S,T,U Jasa Lainnya",Produk Domestik Bruto
Simeulue,1101000,2025-03-10 14:24:37,2024,1199.26,42.81,42.07,5.6,0.38,262.2,417.82,79.15,54.69,123.21,51.86,103.16,4.47,461.7,109.86,161.09,31.44,3150.76
Aceh Singkil,1102000,2025-03-10 14:24:37,2024,1118.96,37.15,224.74,5.48,1.53,321.13,423.33,186.98,43.49,117.83,66.91,90.72,20.4,496.93,95.22,151.19,39.09,3441.08
Aceh Selatan,1103000,2025-03-10 14:24:37,2024,2278.58,192.74,223.99,5.2,2.01,1156.23,1147.33,356.4,39.47,317.08,163.46,255.93,35.93,824.79,228.11,138.76,100.24,7466.23
Aceh Tenggara,1104000,2025-03-10 14:24:37,2024,2905.26,58.6,124.98,6.54,1.06,390.09,935.6,283.01,45.97,103.91,169.26,233.85,24.21,875.94,177.34,271.93,130.33,6737.89
Aceh Timur,1105000,2025-03-10 14:24:37,2024,6705.12,844.91,662.65,14.76,5.59,1011.53,1377.19,758.17,190.23,325.82,251.68,550,36.97,1269.32,282.64,449.14,199.63,14935.34
Aceh Tengah,1106000,2025-03-10 14:24:37,2024,4921.63,104.59,254.28,8.21,4.56,1111.5,1460.78,394.96,236.47,284.17,214.4,259.08,48.57,884.33,184.59,221.46,127.83,10721.42
Aceh Barat,1107000,2025-03-10 14:24:37,2024,4046.16,3419.9,265.73,12.44,2.85,1225.4,1850.47,577.51,153.85,291.06,217.09,295.78,42.5,1009.61,241.21,336.4,65.27,14053.24
Aceh Besar,1108000,2025-03-10 14:24:37,2024,3870.59,963.02,425.03,11.86,9.51,3542.71,3067.75,2075.41,393.66,760.53,205,1021.9,54.7,1072.78,292.54,412.02,233.05,18412.05
Pidie,1109000,2025-03-10 14:24:37,2024,5876.04,424.07,407.37,13.25,2.07,959.55,2207.23,964.94,240.23,286.39,164.12,447.14,78.9,1439.76,312.8,471.49,254.06,14549.43
Bireuen,1110000,2025-03-10 14:24:37,2024,6044.34,377.71,247.76,12.36,11.38,1598.42,4312.44,1692.49,247.12,406.47,200.29,485.36,60.33,1560.04,330.09,545.38,248.98,18380.96
Aceh Utara,1111000,2025-03-10 14:24:37,2024,10050.42,7194.86,2032.08,22.15,8.66,1353.6,3447.25,1597.26,172.79,403.46,402.47,737.82,72.78,938.03,562.18,754.84,333.08,30083.73
Aceh Barat Daya,1112000,2025-03-10 14:24:37,2024,1666.76,60.36,174.02,4.91,0.42,785.6,939.85,334.38,50.42,112.21,106.76,133.27,15.77,478.41,143.45,191.71,169.64,5367.93
Gayo Lues,1113000,2025-03-10 14:24:37,2024,1435.59,39.9,375.33,2.72,1.19,336.07,393.38,79.79,43.22,46.33,36.96,99.8,5.27,429.92,97.41,145.57,14.57,3583.01
Aceh Tamiang,1114000,2025-03-10 14:24:37,2024,4762.62,1808.33,1050.53,7.86,5.37,529.6,958.38,409.07,164.19,270.34,111.22,372.25,31.73,384.66,202.33,288.18,185.73,11542.4
Nagan Raya,1115000,2025-03-10 14:24:37,2024,6252.46,1445.04,582.58,7.96,0.96,1010.1,1080.71,384.43,44.87,210.67,128.51,246.23,26.68,517.83,220.81,219.09,52.78,12431.71
Aceh Jaya,1116000,2025-03-10 14:24:37,2024,1191.54,95.38,184.49,4.19,0.62,555.32,376.1,279.01,34.32,87.74,18.56,115.46,3.39,450.09,109.36,81.35,19.75,3606.65
Bener Meriah,1117000,2025-03-10 14:24:37,2024,3507.94,45.22,130.7,5.12,1.48,927.58,427.63,308.38,30.4,73.33,135.87,111.65,13.8,492.82,107.18,132.66,68.86,6520.63
Pidie Jaya,1118000,2025-03-10 14:24:37,2024,2200.63,59.95,162.37,4.85,1.07,284.47,553.19,222.82,60.16,124.16,34.41,167.3,13.27,524.56,164.92,114.14,32.56,4724.84
Kota Banda Aceh,1171000,2025-03-10 14:24:37,2024,458.49,,541.49,85.56,43.21,1468.05,5543.51,2886.61,1313.4,1294.4,702.69,1880.74,577.47,5741.91,1828.82,1106.84,551.94,26025.15
Kota Sabang,1172000,2025-03-10 14:24:37,2024,132.36,12.93,46.03,3,3.78,540.74,314.3,67.7,73.52,35.69,45.04,62.19,3.82,270.97,80.7,131.68,36.65,1861.1
Kota Langsa,1173000,2025-03-10 14:24:37,2024,653.5,20.9,659.99,6.86,4.32,669.18,2225.09,599.83,288.92,373.42,191.83,272.12,70.94,557,152.87,377.1,199.99,7323.86
Kota Lhokseumawe,1174000,2025-03-10 14:24:37,2024,1102.18,43.04,1978.23,18.77,2,1535.28,2753.46,1470.9,272.39,408.71,317.29,519.47,122.62,534.64,178.51,421.82,168.94,11848.24
Kota Subulussalam,1175000,2025-03-10 14:24:37,2024,691.71,31.04,534.99,1.92,0.38,395.27,459.64,143.95,25.54,65,44.97,75.44,7.14,164.75,56.79,48.49,14.83,2761.85
Nias,1201000,2025-03-10 14:24:37,2024,2581.09,471.43,10.5,4.78,0.49,562.28,515.66,88.1,95.04,13.6,77.87,105.59,4.11,654.51,70.6,39.32,9.65,5304.62
Mandailing Natal,1202000,2025-03-10 14:24:37,2024,10075.59,113.72,2219.43,11.37,3.54,2276.94,2719.1,385.1,129.65,124.82,206.46,434.89,17.65,1199.65,215.56,139.73,6.19,20279.38
Tapanuli Selatan,1203000,2025-03-10 14:24:37,2024,9264.38,3039.03,1330.56,9.74,17.58,2300.15,2339.52,370.52,300.44,114.05,171.97,386.51,10.7,1313.59,138.09,161.96,7.54,21276.31
Tapanuli Tengah,1204000,2025-03-10 14:24:37,2024,6427.98,33.17,1539.45,70.1,16.13,1658.38,1698.63,363.17,181.37,85.54,123.47,253.89,44.97,992.21,125.19,44.89,12.74,13671.28
