KabKota,ID,Timestamp,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Simeulue,1101,2025-10-13 14:56:16,2015,1213.59,67.45,701.81,825.99,5.26,-1173.98,1640.12
Aceh Singkil,1102,2025-10-13 14:56:16,2015,1212.9,32.21,849.8,571.84,0,-850.34,1816.42
Aceh Selatan,1103,2025-10-13 14:56:16,2015,2896.93,89.95,1183.37,1472.65,34.35,-1449.95,4227.3
Aceh Tenggara,1104,2025-10-13 14:56:16,2015,2929.26,125.95,1073.66,998.02,-1.68,-1558.06,3567.14
Aceh Timur,1105,2025-10-13 14:56:16,2015,6053.96,251.89,1382.08,3019.83,0,-2512.04,8195.73
Aceh Tengah,1106,2025-10-13 14:56:16,2015,2732.15,89.77,1206.23,2575.22,-0.02,-728.23,5875.12
Aceh Barat,1107,2025-10-13 14:56:16,2015,3058.76,133.06,1187.42,2801.5,-0.02,-1352.36,5828.35
Aceh Besar,1108,2025-10-13 14:56:16,2015,7314.7,50.33,1867.81,3687.88,0,-2593.38,10327.33
Pidie,1109,2025-10-13 14:56:16,2015,6228.45,189.37,1941.34,2370.81,-0.39,-2868.02,7861.55
Bireuen,1110,2025-10-13 14:56:16,2015,6808.14,180.48,1722.56,2404.26,-7.52,-1038.58,10069.35
Aceh Utara,1111,2025-10-13 14:56:16,2015,8572.66,278.13,2707.19,4639.86,-44.45,186.54,16339.92
Aceh Barat Daya,1112,2025-10-13 14:56:16,2015,1826.71,46.14,772.15,1865.54,-34.64,-1507.55,2968.35
Gayo Lues,1113,2025-10-13 14:56:16,2015,1092.78,47.95,806.49,897.35,0,-768.82,2075.75
Aceh Tamiang,1114,2025-10-13 14:56:16,2015,3660.75,93.48,1024.93,1901.38,20.27,-937.65,5763.17
Nagan Raya,1115,2025-10-13 14:56:16,2015,2609.54,112.14,833.76,2254.75,3.71,-38.48,5775.41
Aceh Jaya,1116,2025-10-13 14:56:16,2015,1031.48,41.34,763.91,1039.67,0.08,-895.7,1980.79
Bener Meriah,1117,2025-10-13 14:56:16,2015,1771.42,74.14,793.15,1708.29,-27.74,-768.98,3550.28
Pidie Jaya,1118,2025-10-13 14:56:16,2015,2024.12,90.86,697.87,959.59,0.01,-1174.02,2598.43
Kota Banda Aceh,1171,2025-10-13 14:56:16,2015,8722.78,184.44,9226.72,4216.02,-7.37,-7848.14,14494.45
Kota Sabang,1172,2025-10-13 14:56:16,2015,566.47,55.75,998.97,850.26,0.01,-1401.37,1070.08
Kota Langsa,1173,2025-10-13 14:56:16,2015,2700.16,80.61,1010.09,1469.86,4.56,-1390.65,3874.63
Kota Lhokseumawe,1174,2025-10-13 14:56:16,2015,3789.58,84.65,1522.08,3957.96,-3.58,-1714.95,7635.73
Kota Subulussalam,1175,2025-10-13 14:56:16,2015,954.41,38.1,461.16,721.39,-12.17,-867.78,1295.11
Nias,1201,2025-10-13 14:56:16,2015,2518.67,96.58,565.99,665.29,8.4,-1178.27,2676.67
Mandailing Natal,1202,2025-10-13 14:56:16,2015,6275.06,140.2,1928.78,2203.67,388.56,-1349.94,9586.34
Tapanuli Selatan,1203,2025-10-13 14:56:16,2015,4640.78,78.42,1119.71,3551.89,125.37,542.19,10058.36
Tapanuli Tengah,1204,2025-10-13 14:56:16,2015,4942.3,153.91,854.39,1336.83,64.47,-206.12,7145.78
Tapanuli Utara,1205,2025-10-13 14:56:16,2015,3846.9,296.06,1058.49,2198.61,167.83,-1712.27,5855.61
Toba Samosir,1206,2025-10-13 14:56:16,2015,3093.04,90.03,886.39,1247.87,78.05,227.35,5622.75
Labuhan Batu,1207,2025-10-13 14:56:16,2015,11504.5,169.79,1138.02,5987.95,1201.37,4081.48,24083.11
Asahan,1208,2025-10-13 14:56:16,2015,14971.05,328.67,1757.19,7546.64,461.25,1400.33,26465.13
Simalungun,1209,2025-10-13 14:56:16,2015,15740.46,274.57,2241.81,7332.96,564.95,992.71,27147.46
Dairi,1210,2025-10-13 14:56:16,2015,3964.61,151.81,868.77,1748,159.63,-69.66,6823.16
Karo,1211,2025-10-13 14:56:16,2015,7676.61,252.82,1466.92,4791.34,737.96,224.72,15150.36
Deli Serdang,1212,2025-10-13 14:56:16,2015,44359.75,408.87,3212.73,25152.56,1521.02,2079.7,76734.63
Langkat,1213,2025-10-13 14:56:16,2015,18792.22,318.55,2886.91,7263.29,774.43,706.26,30741.65
Nias Selatan,1214,2025-10-13 14:56:16,2015,3625.58,114.44,950.93,1043.74,262.49,-1267.75,4729.43
Humbang Hasundutan,1215,2025-10-13 14:56:16,2015,2457.87,80.32,845.35,1056.56,34.66,-61.55,4413.2
Pakpak Bharat,1216,2025-10-13 14:56:16,2015,462.01,8.17,254.73,258.15,4.29,-161.19,826.18
Samosir,1217,2025-10-13 14:56:16,2015,1852.97,72.16,760.91,479.1,153.66,-174.96,3143.84
Serdang Bedagai,1218,2025-10-13 14:56:16,2015,12346.45,247.38,1884.62,5029.38,389.34,255.21,20152.38
Batu Bara,1219,2025-10-13 14:56:16,2015,9585.76,177.63,1370.16,4161.85,555.65,9544.28,25395.32
Padang Lawas Utara,1220,2025-10-13 14:56:16,2015,4992.91,105.91,784,2117.63,82.34,139.14,8221.91
Padang Lawas,1221,2025-10-13 14:56:16,2015,3908.14,81.32,693.76,2008.69,58.93,1101.7,7852.53
Labuhan Batu Selatan,1222,2025-10-13 14:56:16,2015,8934.77,106.04,809.13,5423.14,831.05,2948.03,19052.15
Labuhan Batu Utara,1223,2025-10-13 14:56:16,2015,8427.49,153.84,980.54,4871.85,637.09,2549.37,17620.18
Nias Utara,1224,2025-10-13 14:56:16,2015,2052.05,34.48,432.72,684.52,74.38,-753.09,2525.07
Nias Barat,1225,2025-10-13 14:56:16,2015,1065.74,53.54,326.18,385.35,57.76,-600.05,1288.53
Kota Sibolga,1271,2025-10-13 14:56:16,2015,2172.66,75.11,540.02,771.96,70.13,205.63,3835.52
Kota Tanjung Balai,1272,2025-10-13 14:56:16,2015,3291.94,82.09,820.07,2088.34,228.69,-459.21,6051.92
Kota Pematang Siantar,1273,2025-10-13 14:56:16,2015,6212.93,255.32,1221.32,2603.46,334.19,-60.88,10566.33
Kota Tebing Tinggi,1274,2025-10-13 14:56:16,2015,3085.82,16.76,852.05,1368.83,41.83,-1077.43,4287.86
Kota Medan,1275,2025-10-13 14:56:16,2015,78975.63,518.04,7879.84,70322.14,2350.44,4675.73,164721.83
Kota Binjai,1276,2025-10-13 14:56:16,2015,4936.34,123.29,628.22,2636.3,76.12,-17.86,8382.4
Kota Padangsidimpuan,1277,2025-10-13 14:56:16,2015,2875.92,140.29,1001.52,1834.65,53.93,-1481.8,4424.51
Kota Gunungsitoli,1278,2025-10-13 14:56:16,2015,2416.51,74.1,348.08,1059.69,12.75,-316.43,3594.7
Kepulauan Mentawai,1301,2025-10-13 14:56:16,2015,1787.27,30.21,665,1069.16,0.5,-156.46,3395.69
Pesisir Selatan,1302,2025-10-13 14:56:16,2015,5621.03,116.84,1362.78,3149.46,316.89,-369.82,10197.17
Solok,1303,2025-10-13 14:56:16,2015,5691.33,90.88,1190.7,3269.84,66.57,-144.03,10165.29
Sijunjung,1304,2025-10-13 14:56:16,2015,3804.15,52.94,787.95,2312.69,-55.06,52.75,6955.43
Tanah Datar,1305,2025-10-13 14:56:16,2015,5635.32,127.45,1288.93,3143.69,1.06,-294.96,9901.48
Padang Pariaman,1306,2025-10-13 14:56:16,2015,7921.75,175.59,1474.51,4488.44,-0.72,1786.33,15845.89
Agam,1307,2025-10-13 14:56:16,2015,8320.73,173.95,1407.38,4594.81,-0.26,751.18,15247.79
Lima Puluh Kota,1308,2025-10-13 14:56:16,2015,6350.14,123.81,1196.77,3597.59,-0.53,315.19,11582.97
Pasaman,1309,2025-10-13 14:56:16,2015,3591.05,75.31,872.16,2070.74,254.95,-358.84,6505.37
Solok Selatan,1310,2025-10-13 14:56:16,2015,2307.44,48.65,551.34,1230,-0.33,99.09,4236.19
Dharmasraya,1311,2025-10-13 14:56:16,2015,4223,75.72,772.05,2269.17,0.54,384.98,7725.47
Pasaman Barat,1312,2025-10-13 14:56:16,2015,6432.7,140.07,1148.09,3613.52,-0.41,378.96,11712.94
Kota Padang,1371,2025-10-13 14:56:16,2015,23579.61,521.49,7516.87,14139.86,0.87,-665.76,45092.95
Kota Solok,1372,2025-10-13 14:56:16,2015,1521.17,32.86,557.45,837.33,-0.04,16.13,2964.89
Kota Sawah Lunto,1373,2025-10-13 14:56:16,2015,1507.97,32.01,561.35,726.16,31.84,-144.33,2715.01
Kota Padang Panjang,1374,2025-10-13 14:56:16,2015,1355.91,29.49,551.36,833.23,3.62,-240.56,2533.05
Kota Bukittinggi,1375,2025-10-13 14:56:16,2015,3358.04,62.9,953.08,1760.81,4.82,30.1,6169.75
Kota Payakumbuh,1376,2025-10-13 14:56:16,2015,2379.85,45.22,698.76,1344.01,-3.11,190.25,4654.98
Kota Pariaman,1377,2025-10-13 14:56:16,2015,1937.16,44.07,572.78,1047.55,2.33,95.55,3699.44
Kuantan Singingi,1401,2025-10-13 14:56:16,2015,10908.74,119.12,1123.26,11360.93,-17.12,1699.94,25194.88
Indragiri Hulu,1402,2025-10-13 14:56:16,2015,13450.87,174.16,1185.18,12641.5,554.22,6577.66,34583.6
Indragiri Hilir,1403,2025-10-13 14:56:16,2015,22547.21,291.18,1493.03,12408.71,-285.87,15345.83,51800.09
Pelalawan,1404,2025-10-13 14:56:16,2015,11136.43,134.57,985.36,6271.87,584.12,19064.08,38176.43
Siak,1405,2025-10-13 14:56:16,2015,15458.57,185.16,1642.93,14510.89,901.44,44536.58,77235.58
Kampar,1406,2025-10-13 14:56:16,2015,28154.15,331.86,2103.86,20599.11,952.95,14143.22,66285.16
Rokan Hulu,1407,2025-10-13 14:56:16,2015,17283.29,209.74,1164.8,6095.46,350.98,1802.89,26907.16
Bengkalis,1408,2025-10-13 14:56:16,2015,20436.85,232.39,2544.73,18540.22,357.59,93393.14,135504.92
Rokan Hilir,1409,2025-10-13 14:56:16,2015,18754.08,253.01,1352.75,5844.1,2020.26,42468.77,70692.97
Kepulauan Meranti,1410,2025-10-13 14:56:16,2015,5306.31,113.06,466.58,3239.18,48,5978.5,15151.64
Kota Pekanbaru,1471,2025-10-13 14:56:16,2015,46052.05,740.8,7561.12,73910.5,1155.87,-45756.36,83663.98
Kota Dumai,1473,2025-10-13 14:56:16,2015,9329.15,116.32,1664.6,12393.86,831.62,1118.03,25453.57
Kerinci,1501,2025-10-13 14:56:16,2015,4284.51,41.86,940.18,1340.15,70.31,395.05,7072.07
Merangin,1502,2025-10-13 14:56:16,2015,6803.34,36.72,975.29,2685.72,-40.51,127.7,10588.27
Sarolangun,1503,2025-10-13 14:56:16,2015,6285.88,56.34,818.26,4446.73,-45.1,-385.67,11176.44
Batang Hari,1504,2025-10-13 14:56:16,2015,5906.78,41.77,890.89,3162.75,40.98,2019.65,12062.83
Muaro Jambi,1505,2025-10-13 14:56:16,2015,7739.17,67.89,1456.31,3323.7,274.43,4187.12,17048.62
Tanjung Jabung Timur,1506,2025-10-13 14:56:16,2015,4586.17,61.49,1030.92,2607.21,543.1,8947.95,17776.85
Tanjung Jabung Barat,1507,2025-10-13 14:56:16,2015,7392.57,58.44,884.77,4082.26,713.23,16337.24,29468.51
Tebo,1508,2025-10-13 14:56:16,2015,6014,67.24,757.92,2780.57,63.51,632.27,10315.53
Bungo,1509,2025-10-13 14:56:16,2015,7331.39,69.16,966.88,4374.47,147,97.05,12985.94
Kota Jambi,1571,2025-10-13 14:56:16,2015,13123.57,308.28,5000.77,5123.1,-112.35,-2149.91,21293.45
Kota Sungai Penuh,1572,2025-10-13 14:56:16,2015,2415.33,28.17,417.6,1571.59,126.03,425.97,4984.68
Ogan Komering Ulu,1601,2025-10-13 14:56:16,2015,7653.71,167.02,1230.92,4336.53,242.41,-2955.95,10674.63
Ogan Komering Ilir,1602,2025-10-13 14:56:16,2015,14243.41,329.5,1835.75,6914.97,161.55,-1653.33,21831.86
Muara Enim,1603,2025-10-13 14:56:16,2015,25363.07,759.23,2003.71,11918.55,-443.71,1333.53,40934.38
Lahat,1604,2025-10-13 14:56:16,2015,10018.8,221.25,1970.23,5041.85,-303.35,-3090.93,13857.85
Musi Rawas,1605,2025-10-13 14:56:16,2015,10365.18,177.08,1360.06,4596.95,283.64,-2643.88,14139.03
Musi Banyuasin,1606,2025-10-13 14:56:16,2015,35491.52,847.92,3578.76,16547.39,267.13,-3344.56,53388.15
Banyu Asin,1607,2025-10-13 14:56:16,2015,14371.21,274.73,1687.29,6186.79,603.23,-2300.84,20822.41
Ogan Komering Ulu Selatan,1608,2025-10-13 14:56:16,2015,4164.88,72.64,843.35,2202.53,180.02,-1086.58,6376.85
Ogan Komering Ulu Timur,1609,2025-10-13 14:56:16,2015,7308.73,126.16,1155.42,3743.65,843.86,-2076.5,11101.33
Ogan Ilir,1610,2025-10-13 14:56:16,2015,4988.6,96.92,1314.45,2433.37,-2.38,-645.79,8185.18
Empat Lawang,1611,2025-10-13 14:56:16,2015,2551.29,58.32,716.93,1350.53,150.71,-989.09,3838.69
Penukal Abab Lematang Ilir,1612,2025-10-13 14:56:16,2015,3424.02,91.59,258.68,1850.87,-53.37,-473.85,5097.93
Musi Rawas Utara,1613,2025-10-13 14:56:16,2015,4337.66,73.44,582.82,1714.06,-50.03,-709.73,5948.21
Kota Palembang,1671,2025-10-13 14:56:16,2015,70668.39,1465.91,5934.52,51201.54,-1382.44,-19744.13,108143.8
Kota Prabumulih,1672,2025-10-13 14:56:16,2015,3630.08,93.37,794.16,2354.17,218.27,-1514.65,5575.39
Kota Pagar Alam,1673,2025-10-13 14:56:16,2015,1577.57,41.87,430.27,957.87,61.65,-791.55,2277.69
Kota Lubuklinggau,1674,2025-10-13 14:56:16,2015,3201.05,76.53,688.41,2334.14,83.74,-1712.79,4671.08
Bengkulu Selatan,1701,2025-10-13 14:56:16,2015,2543.91,108.04,875.48,1589.78,66.27,-1158.69,4024.79
Rejang Lebong,1702,2025-10-13 14:56:16,2015,4382.76,136.38,901.6,2307.56,146.08,-1298.52,6575.85
Bengkulu Utara,1703,2025-10-13 14:56:16,2015,3878.7,107.15,890.74,2555.82,203.2,-1899.03,5736.58
Kaur,1704,2025-10-13 14:56:16,2015,1643.48,61.89,561.46,1427.83,22.85,-1262.41,2455.11
Seluma,1705,2025-10-13 14:56:16,2015,2151.19,52.28,617.56,1731.15,120.3,-1486.21,3186.26
Mukomuko,1706,2025-10-13 14:56:16,2015,2388.71,88.62,586.54,2017.79,131.65,-1646.5,3566.82
Lebong,1707,2025-10-13 14:56:16,2015,1629.35,81.95,523.22,1406.62,18.62,-1329.12,2330.64
Kepahiang,1708,2025-10-13 14:56:16,2015,1974.28,91.16,521.26,1369.62,116.86,-1120.21,2952.97
Bengkulu Tengah,1709,2025-10-13 14:56:16,2015,2117.68,47.19,408.47,1422.87,132.37,-871.74,3256.84
Kota Bengkulu,1771,2025-10-13 14:56:16,2015,9866.65,446.87,4219.2,4491.24,369.74,-3577.84,15815.85
Lampung Barat,1801,2025-10-13 14:56:16,2015,4228.49,101.15,1109.66,1683.35,18.04,-2013.39,5127.31
Tanggamus,1802,2025-10-13 14:56:16,2015,7798.61,144.74,1302.68,2761.99,30.49,-908.14,11130.37
Lampung Selatan,1803,2025-10-13 14:56:16,2015,17124.45,370.45,1731.54,10551.11,548.83,1086.4,31412.78
Lampung Timur,1804,2025-10-13 14:56:16,2015,18456.13,398.14,2015.07,8972.36,-725.18,1530.36,30646.87
Lampung Tengah,1805,2025-10-13 14:56:16,2015,25638.27,560.37,2101.08,16001.45,327.34,4249.86,48878.37
Lampung Utara,1806,2025-10-13 14:56:16,2015,10144.58,424.15,1333.99,5063.15,2.45,-127.01,16841.31
Way Kanan,1807,2025-10-13 14:56:16,2015,6195.59,124.2,899.25,3048.17,30.09,-234.29,10062.99
Tulangbawang,1808,2025-10-13 14:56:16,2015,9145.42,185.4,879.88,4987.81,584.46,411.07,16194.04
Pesawaran,1809,2025-10-13 14:56:16,2015,6853.13,129.39,906.37,3419.21,3.16,405.26,11716.51
Pringsewu,1810,2025-10-13 14:56:16,2015,6257.52,104.25,725.18,2344.44,233.86,-1628.29,8036.96
Mesuji,1811,2025-10-13 14:56:16,2015,4270.88,82.09,418.66,2118.59,2.72,420.4,7313.34
Tulang Bawang Barat,1812,2025-10-13 14:56:16,2015,5204.58,83.42,566.37,2434.81,98.38,-256.94,8130.61
Pesisir Barat,1813,2025-10-13 14:56:16,2015,2281.89,49.91,120.05,645.45,41.37,93.12,3231.81
Kota Bandar Lampung,1871,2025-10-13 14:56:16,2015,24084.38,544.1,9227.92,12110.39,-1374.31,-5163.55,39428.92
Kota Metro,1872,2025-10-13 14:56:16,2015,3204.71,77.12,774.95,931.17,49.26,-599.28,4437.93
Bangka,1901,2025-10-13 14:56:16,2015,6801.07,61.51,988.87,2361.62,186.31,602.04,11001.41
Belitung,1902,2025-10-13 14:56:16,2015,3871.94,52.98,857.44,1846.86,170.69,528.26,7328.17
Bangka Barat,1903,2025-10-13 14:56:16,2015,5010.04,53.6,652.94,1994.44,256.15,3505.86,11473.02
Bangka Tengah,1904,2025-10-13 14:56:16,2015,4330.18,48.62,847.24,1697.5,74.84,57.79,7056.17
Bangka Selatan,1905,2025-10-13 14:56:16,2015,4328.21,43.72,599.71,1842.22,127.42,6.48,6947.75
Belitung Timur,1906,2025-10-13 14:56:16,2015,3040.54,39.1,778.97,1670.47,155.49,441.38,6125.94
Kota Pangkal Pinang,1971,2025-10-13 14:56:16,2015,4724.93,84.8,1580.13,2701.31,196.53,946.94,10234.63
Karimun,2101,2025-10-13 14:56:16,2015,5637.81,91.25,1298.39,3058.65,21.58,-475.56,9632.11
Bintan,2102,2025-10-13 14:56:16,2015,6887.47,18.18,1216.14,7819.08,30.63,-490.4,15481.1
Natuna,2103,2025-10-13 14:56:16,2015,2780.47,9.88,1745.35,2710.56,15.36,10632.37,17893.99
Lingga,2104,2025-10-13 14:56:16,2015,1864.15,11.23,711.96,1083.39,5.36,-632.65,3043.43
Kepulauan Anambas,2105,2025-10-13 14:56:16,2015,1507.5,9.04,1258.28,2544.78,43.16,10711.26,16074.02
Kota Batam,2171,2025-10-13 14:56:16,2015,43920.98,262.43,2051.48,58571.91,899.55,15239.39,120945.74
Kota Tanjung Pinang,2172,2025-10-13 14:56:16,2015,9063.34,54.88,3494.15,8654.86,44.19,-5469.31,15842.11
Kep. Seribu,3101,2025-10-13 14:56:16,2015,1919.49,504.97,394.48,256.72,3.45,3179.72,6258.84
Kota Jakarta Selatan,3171,2025-10-13 14:56:16,2015,291353.86,9348.32,82444.63,178054.97,1982.75,-119852.56,443331.98
Kota Jakarta Timur,3172,2025-10-13 14:56:16,2015,294204.92,7126.4,16847.14,133375.32,5126.54,-110000.61,346679.71
Kota Jakarta Pusat,3173,2025-10-13 14:56:16,2015,112874.35,4527.59,134590.46,158523.89,1876.42,73553.83,485946.53
Kota Jakarta Barat,3174,2025-10-13 14:56:16,2015,279389.2,5940.12,12193.67,171910.91,2141.22,-142692.06,328883.07
Kota Jakarta Utara,3175,2025-10-13 14:56:16,2015,220181.02,8253.9,14118.97,172988.3,6030.46,-43618.31,377954.33
Bogor,3201,2025-10-13 14:56:16,2015,116937.81,977.89,6573.56,38613.37,3596.29,1382.5,168081.42
Sukabumi,3202,2025-10-13 14:56:16,2015,30815.49,225.53,3242.36,13774.55,2597.51,-3716.63,46938.81
Cianjur,3203,2025-10-13 14:56:16,2015,26861.58,74.92,2897.32,8593.92,1162.01,-7240.03,32349.71
Bandung,3204,2025-10-13 14:56:16,2015,68028.57,407.27,4317.58,17560.5,2691.24,-7385.54,85619.62
Garut,3205,2025-10-13 14:56:16,2015,32609.7,208.32,3466.66,10860.31,1609.64,-8089.62,40665.01
Tasikmalaya,3206,2025-10-13 14:56:16,2015,22743.47,363.65,2347.15,5576.32,1201.43,-6565.87,25666.17
Ciamis,3207,2025-10-13 14:56:16,2015,15673.97,255.27,1988.68,6107.72,641.01,-2078.42,22588.23
Kuningan,3208,2025-10-13 14:56:16,2015,15187.65,420.87,2423.06,4498.38,556.76,-6100.05,16986.67
Cirebon,3209,2025-10-13 14:56:16,2015,31721.52,656.7,2691.14,12750.11,1401.93,-13486.76,35734.65
Majalengka,3210,2025-10-13 14:56:16,2015,16474.44,134.64,2232.63,7656.2,822.35,-6027.65,21292.62
Sumedang,3211,2025-10-13 14:56:16,2015,17445.71,363.85,2893.29,6180.52,933.77,-2984.88,24832.26
Indramayu,3212,2025-10-13 14:56:16,2015,25376.19,178.34,2450.21,9580.85,3365.06,24426.99,65377.65
Subang,3213,2025-10-13 14:56:16,2015,22194.39,215.74,2572.52,8185.41,1269.27,-5129.4,29307.92
Purwakarta,3214,2025-10-13 14:56:16,2015,26751.56,197.64,2285.31,12493.82,1731.96,6656.43,50116.71
Karawang,3215,2025-10-13 14:56:16,2015,62491.61,310.83,4409.87,30442.75,6509.02,62952.39,167116.46
Bekasi,3216,2025-10-13 14:56:16,2015,92268.77,367.71,3981.59,54831.93,10768.4,83785,246003.39
Bandung Barat,3217,2025-10-13 14:56:16,2015,21796.49,303.48,2548.52,7307.42,1377.68,658.02,33991.62
Pangandaran,3218,2025-10-13 14:56:16,2015,4625.61,60.29,666.88,2274.59,426.38,-37.25,8016.5
Kota Bogor,3271,2025-10-13 14:56:16,2015,30707.33,530.16,3940.84,11686.94,1596.57,-16096.94,32364.9
