KabKota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB,"A Pertanian, Kehutanan, dan Perikanan",B Pertambangan dan Penggalian,C Industri Pengolahan,D Pengadaan Listrik dan Gas,"E Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",F Konstruksi,G Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,H Transportasi dan Pergudangan,I Penyediaan Akomodasi dan Makan Minum,J Informasi dan Komunikasi,K Jasa Keuangan dan Asuransi,L Real Estat,"M,N Jasa Perusahaan","O Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",P Jasa Pendidikan,Q Jasa Kesehatan dan Kegiatan Sosial,"R,S,T,U Jasa Lainnya",Produk Domestik Bruto
Aceh Barat,2025,5258.295136098781,300.8888767325806,1581.927297614796,5054.058798026397,100.45501476483682,2311.2678860714286,14075.662817414135,4145.6758809757775,4188.021270478985,264.1702102895724,13.077440566696426,2.9249689183549386,1232.0259066464307,1794.8690291249875,566.8192499266145,170.35633030584128,316.5502894378291,208.9749789186841,302.1306388872021,48.92723341744675,1009.7089974272767,237.36668343711077,347.13348028192814,74.58364829418227,14075.662817414135
Aceh Selatan,2025,4487.5905270927215,140.2461953822462,1386.360943156779,2549.6400937497056,-9.867924610997676,-1171.6233065674603,7341.960021885468,2264.978978481116,202.56249987245118,228.4740752657232,5.229675256261526,2.113115727825673,1176.9863401678017,1149.2207296150787,322.30628637928913,39.445856388457514,333.5806287335734,175.64786488081884,260.3386479622112,46.518626254316665,829.0135707165712,227.60336261287358,147.21729011412904,96.07320492992157,7341.960021885468
Aceh Singkil,2025,2041.232689776388,62.17315523757605,1037.6826969658127,958.882479020939,0.23481939886272585,-679.6283044444446,3518.665440031635,1108.595809198221,37.46972579055232,232.33642525317146,5.4938232623909755,1.5309090304170272,333.55794660286415,424.29805302189834,179.17477924271947,44.88713113610501,119.23477347622104,63.53824801318326,95.18461478735364,20.208329776291826,485.5105037693561,98.72177675997827,160.85885546987302,39.303352246607595,3518.665440031635
Alor,2025,2876.937921578982,133.08267180271366,1401.8259514163217,1694.4406827097744,52.992516283715474,-2155.923705625902,3884.8071250333273,1265.012016741264,49.81191542875766,58.51401433183104,5.266050514931907,3.5760678908329724,417.23003567573187,534.7965411231677,219.47869667188945,18.994371482854625,229.20145868367882,288.0271214191561,69.31786972845673,15.28070778325526,653.8450298598029,118.89840724025672,28.139471176765007,17.124339385933684,3884.8071250333273
Banggai,2025,13887.265108516664,826.8849013822592,3775.9107769296993,7896.06425527952,335.8191183883956,13173.597374345234,40319.16845857955,7317.768139790445,9179.033838480558,11754.382215353235,6.453524552886282,19.01487414262689,3379.4554492908837,2153.3559807432903,1150.6009159999983,151.707533221183,935.7932821384447,722.8349121315705,592.8029089484835,34.202005570698084,1447.160916581367,873.5289407204372,299.09274986688206,174.8382096724334,40319.16845857955
Banggai Kepulauan,2025,3243.0884035793115,57.90483451281573,807.0678161262832,788.2570671002514,5.065343369610559,458.1211603846153,5356.300186405037,2588.895935209993,50.67802375306311,132.1159271348865,0.74421563903229,5.8451049789345495,131.7594103868415,1122.7420835680496,140.84375629754643,22.747211067703766,168.37388525111038,168.17462195234987,97.81499707647798,4.730512519207258,274.8918565156562,263.2554043743307,162.75151948068327,78.41760934895984,5356.300186405037
Bangka Barat,2025,9542.910168199998,108.79254167234345,1097.5952852159737,3588.7034635433665,48.583734367485334,6576.010047380954,18898.89970855724,2750.996981563917,1397.3844948490287,8316.46989986027,13.943975498251222,1.4530026110733794,1356.821965553326,2713.5911091935122,205.6984441109858,285.3947410743024,89.64510862761874,106.97609033975752,429.9852779158171,28.80881684522312,851.3225657158735,371.5145210064043,162.50312771279556,67.17884392839433,18898.89970855724
Bangkalan,2025,23527.2892150084,370.635262670197,2017.353721690042,8132.451667574287,355.15818780267824,-6099.4973901388885,27921.506352013508,6589.942549805426,4368.267317472663,848.8717429832676,14.696169879531123,37.62336362253788,4511.144705192397,4862.885318971534,628.0674824827738,458.15108743300954,2403.919385520329,557.4963902449273,385.8555146168358,74.02447628309098,1863.4576093597443,1143.252143395637,145.8221682887681,219.28373760882621,27921.506352013508
Banyuwangi,2025,54664.797195416286,1389.0282204271587,6705.657254581977,43180.779490393186,376.1985525254331,-5732.997461011901,85994.71435660112,30056.427161561056,6515.895422351326,49413.397763079,44.20701358849819,64.27743447297875,16161.558408804933,14222.30786893679,3180.7602543804164,2789.451710181934,5098.165177885252,2554.9205099240144,1297.938072828899,757.6231650219253,2286.5702487161325,2919.913578958453,471.3291002934716,1245.9559167265945,85994.71435660112
Barru,2025,6134.4018454100515,78.99259067744272,1276.3047357011121,4675.3413369031405,23.13414983807087,-1967.2679514601377,10381.4645316696,3231.1047950017687,271.2078499465416,508.43860764367787,9.542941631555504,10.59359218463409,1975.3635104079142,952.1687818737627,351.47701329255426,115.6602597535585,532.4293445325618,293.3747479585358,319.43687559890344,2.6792882300840084,720.2379885602986,319.5379866920066,270.25347336697195,85.6711286029216,10381.4645316696
Bengkalis,2025,45490.453827491234,506.42715164137167,3781.322437275934,37453.429019976465,69.63048593773438,67643.46712939935,132061.56797038147,28974.04833918444,77088.08729222631,52044.435479260224,70.70805309625717,19.91578632630255,9199.90532688503,12808.118021035909,474.48763102161945,413.29836996417214,755.906604380527,512.9512919399574,528.966705458974,6.193102462009204,1596.8328313885534,540.7229161170421,191.62737674303332,381.857728617473,132061.56797038147
Bima,2025,9669.286659036035,248.8297598462328,2520.0189634962653,5534.398866721162,15.90483352370211,-3458.6834385119028,15152.07342710122,6694.26555610785,398.3836225342599,296.5732946736094,8.275560719146132,7.016189763646691,867.2761163306485,2503.374552239308,905.649103314175,56.08467178955049,195.61958959090904,615.8528110961224,376.5366027363484,14.333650774174295,1012.9212351575491,555.503965695643,148.4157923757999,195.68080262538265,15152.07342710122
Bintan,2025,14869.072205302511,38.85197255392208,1987.0274074901279,16155.47769923666,198.43947144529994,-3388.773830667386,27903.961314098007,1872.6052351959308,488.7647128924347,11661.913831783084,34.25353737922917,15.78705845470174,5723.087047712261,2838.4042834124143,746.2054394341491,1334.365592340546,270.1728946338209,380.4214218140348,263.75092784566993,0.22404263567130744,741.3789387030633,495.6868801182718,239.04690386345447,53.872063132304895,27903.961314098007
Bone,2025,28554.642214604493,620.7455559054966,4894.939312374081,17280.05214058004,-19.85464417891373,-1554.8218523090795,47503.02454986662,29848.373621027393,1457.349913459257,4246.364386034093,44.17577127186377,13.215784775912008,5425.353689201863,5340.792302365685,1383.9078171113254,247.7183502969787,873.2598843983607,2417.200399910794,1303.4993454524683,37.55255598757432,2114.1543555521266,1121.3923418641978,467.91473797263353,229.0927316872012,47503.02454986662
Bulukumba,2025,12527.26268838837,275.8087466233252,2148.3470420017206,5997.5833193274,112.2245283976631,-900.3539927579362,20163.408939730718,7425.0825186089705,460.3169799408234,1362.075482862903,26.181708625748737,5.856235353911779,2193.483506167513,3241.3818244075105,507.76672124385,165.97388267363965,707.4854478691534,837.5015530678451,817.6873196208049,6.166548097861431,1060.5029240245005,581.1067314315505,300.5336104585601,194.92108133334563,20163.408939730718
Buru,2025,2677.5656219756665,98.7389788733848,1085.8211683437833,1203.14890567362,20.66320329649423,-1970.9464254419204,3129.171601589635,1033.0556190378995,23.98423341215181,506.21310168758794,2.67529729691251,11.223287352102066,261.10071488604876,236.23913560773346,111.73818688829013,36.964188260017096,38.13388835587542,68.72172893096403,10.698792092325947,3.422741170310311,553.6015922600798,125.41650702819025,144.81026467047064,52.16192954591748,3129.171601589635
