Lintas,Jarak (Mil),Klasifikasi,Pengelola,Kab/Kota Keberangkatan,Kab/Kota Tujuan
Merak – Bakauheni,17,Antar Provinsi,ASDP,Kota Cilegon,Lampung Selatan
Ujung – Kamal,3,Antar Provinsi,ASDP,Kota Surabaya,Bangkalan
Ketapang – Gilimanuk,5,Antar Provinsi,ASDP,Banyuwangi,Jembrana
Padang Bai – Lembar,36,Antar Provinsi,ASDP,Karangasem,Lombok Barat
Kayangan – Pototano,11,Dalam Provinsi,ASDP,Lombok Timur,Sumbawa Barat
Balikpapan (Karingau) - Panajam,6,Dalam Provinsi,ASDP,Kota Balikpapan,Penajam Paser Utara
Balikpapan (Karingau) - Mamuju,215,Antar Provinsi,ASDP,Kota Balikpapan,Mamuju
Bajoe – Kolaka,86,Antar Provinsi,ASDP,Bone,Kolaka
Palembang (Tj. Api-Api) - (Tj. Kalian),30,Antar Provinsi,ASDP,Musi Banyuasin,Bangka Barat
Telaga Punggur - Tj. Uban,7,Antar Provinsi,ASDP,Kota Batam,Bintan
Bira – Pamatata,18,Antar Provinsi,ASDP,Bulukumba,Kepulauan Selayar
Siwa – Lasusua,32,Antar Provinsi,ASDP,Wajo,Kolaka Utara
Poka – Galala,5,Dalam Provinsi,ASDP,Kota Ambon,Kota Ambon
Hunimua – Waipirit,12,Dalam Provinsi,ASDP,Maluku Tengah,Seram Bagian Barat
Galala – Namlea,85,Dalam Provinsi,ASDP,Kota Ambon,Buru
Kupang – Rote,40,Dalam Provinsi,ASDP,Kupang,Rote Ndao
Kupang – Larantuka,120,Dalam Provinsi,ASDP,Kupang,Flores Timur
Kupang – Kalabahi,137,Dalam Provinsi,ASDP,Kupang,Alor
Kupang – Sabu,115,Dalam Provinsi,ASDP,Kupang,Sabu Raijua
Kupang - Aimere,189,Dalam Provinsi,ASDP,Kupang,Ngada
Kupang – Waingapu,120,Dalam Provinsi,ASDP,Kupang,Sumba Timur
Sibolga - Gunung Sitoli (P. Nias),86,Antar Provinsi,Swasta,Kota Sibolga,Kota Gunungsitoli
Sibolga - Teluk Dalam,150,Antar Provinsi,Swasta,Kota Sibolga,Nias Selatan
Balohan - Ulheu Lheu,17,Antar Provinsi,ASDP,Kota Sabang,Kota Banda Aceh
Labuhan Haji – Sinabang,85,Antar Provinsi,ASDP,Aceh Selatan,Simeulue
Sinabang – Singkil,113,Dalam Provinsi,ASDP,Simeulue,Aceh Singkil
Paciran – Garongkong,940,Dalam Provinsi,ASDP,Lamongan,Barru
Tayan – Teraju,"1,2",Antar Provinsi,ASDP,Sanggau,Sanggau
Rasau Jaya - Teluk Batang,70,Dalam Provinsi,ASDP,Kubu Raya,Kayong Utara
Tebas Kuala - Tebas Seberang,1,Antar Provinsi,ASDP,Sambas,Sambas
Tanjung Harapan - Teluk Kalong,"0,35",Antar Provinsi,ASDP,Indragiri Hilir,Indragiri Hilir
Batu Licin - Tanjung Serdang,4,Antar Provinsi,ASDP,Tanah Bumbu,Kota Baru
Baubau – Wara,3,Antar Provinsi,ASDP,Kota Baubau,Buton Tengah
Torobulu - Tampo,19,Dalam Provinsi,ASDP,Konawe Selatan,Muna
Pagimana – Gorontalo,95,Antar Provinsi,ASDP,Banggai,Gorontalo
Sape - Labuhan Bajo,70,Dalam Provinsi,ASDP,Bima,Manggarai Barat
Sape – Waikelo,70,Antar Provinsi,ASDP,Bima,Sumba Barat Daya
Bitung - Ternate (Bastiong),156,Dalam Provinsi,ASDP,Kota Bitung,Kota Ternate
Bastiong – Sidangole,12,Dalam Provinsi,ASDP,Kota Ternate,Halmahera Barat
Bastiong – Rum,3,Antar Provinsi,ASDP,Kota Ternate,Kota Tidore Kepulauan
Bastiong - Sofifi,14,Antar Provinsi,ASDP,Kota Ternate,Kota Tidore Kepulauan
Kupang – Weikela,130,Dalam Provinsi,ASDP,Kupang,Sumba Barat Daya
Meulaboh – Sinabang,120,Dalam Provinsi,ASDP,Aceh Barat,Simeulue
Kota – Siantan,"0,16",Dalam Provinsi,ASDP,Kota Pontianak,Kota Pontianak
Ajibata – Tomok,9,Dalam Provinsi,ASDP,Toba Samosir,Samosir
Balikpapan – Taipa,215,Dalam Provinsi,ASDP,Kota Balikpapan,Kota Palu
Bira – Tondasi,163,Dalam Provinsi,ASDP,Bulukumba,Muna Barat
Sei Selari - Bengkalis (Air Putih),8,Dalam Provinsi,ASDP,Bengkalis,Bengkalis
